epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.327,0.4416,0.88452,0.96695,0.00253,0.50495,0.0018,0.00066,2.65601,8829.94,43.0005,0.00062,0.00062,0.00062
2,1215.87,0.62127,0.70306,1.09707,0.00045,0.07921,0.00023,3e-05,5.33677,22565,1088.85,0.00113526,0.00113526,0.00113526
3,1600.47,0.58148,0.56926,1.08525,0.00061,0.0198,0.00028,0.00014,5.00169,3376.16,391.198,0.0015238,0.0015238,0.0015238
4,1971.08,0.57639,0.50549,1.06114,0.03023,0.16832,0.01571,0.00488,3.34901,22.2951,10.9578,0.001406,0.001406,0.001406
5,2344.13,0.45865,0.41584,0.97694,0.50412,0.09901,0.1163,0.1005,2.43463,4.64671,2.66697,0.001208,0.001208,0.001208
6,2711.33,0.40001,0.36816,0.94657,0.98889,0.88141,0.96161,0.91,0.34936,0.48525,0.84909,0.00101,0.00101,0.00101
7,3082.93,0.34701,0.31711,0.91679,0.98908,0.94059,0.98179,0.92723,0.32707,0.33969,0.8534,0.000812,0.000812,0.000812
8,3453.97,0.3207,0.28821,0.90273,1,0.99848,0.995,0.9785,0.25562,0.23611,0.80785,0.000614,0.000614,0.000614
9,3825.3,0.26838,0.25395,0.88255,0.99903,1,0.995,0.99161,0.21752,0.21001,0.78768,0.000416,0.000416,0.000416
10,4198.95,0.23742,0.2261,0.85153,0.98959,0.9703,0.98212,0.97922,0.19288,0.23554,0.79186,0.000218,0.000218,0.000218
